method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,vis_frac,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid,kp_a,kp_b
h6_pulse,32,67,1,44,3.42071,0,5645,10995,-0.00138092,-0.145627,0.29918,0.0511169,0.359228,1.05,1.08655,0.552381,0.467574,0.552381,0.923154,0.532707,0.631289,0.602872,59,189,0.073878,1,1,1,,
h6_pulse,33,67,1,130,0.281473,1,6535,2656,0.0915203,-0.111723,-0.170547,0.0338726,0.300089,1.05,0.895942,0.506122,0.421315,0.519728,0.950036,0.457413,0.466501,0.427479,59,189,0.0854875,1,1,1,,
h6_pulse,34,67,1,180,0.0201081,1,10765,660,0.254145,0.144674,-0.220559,-0.342884,0.680483,1.05,1.08255,0.730612,0.54263,0.730612,0.962708,0.81945,0.600107,0.565279,59,189,0.0809674,-1,1,1,,
h6_pulse,35,67,1,255,2.43811,1,5114,11020,-0.0682812,-0.348969,0.303845,0.054204,0.548659,1.05,1.07685,0.77551,0.599887,0.77551,0.988505,0.660407,0.724981,0.695517,59,189,0.0773649,1,1,1,,
h6_pulse,36,67,1,18,4.1434,1,3981,10805,-0.139503,-0.0282907,0.268419,0.0328608,0.413238,1.05,1.04395,0.665306,0.507029,0.665306,0.975471,0.581825,0.563671,0.524307,59,189,0.100763,-1,1,1,,
h6_pulse,37,67,1,65,5.49006,0,8697,72,0.217349,0.0505095,-0.231571,-0.000921249,0.451947,1.05,1.09864,0.804082,0.604762,0.804082,0.975471,0.627326,0.628365,0.586833,59,189,0.0807943,1,1,1,,
h6_pulse,38,67,1,3,0.434362,1,6806,701,0.105686,0.0433369,-0.204754,0.0159407,0.311819,1.05,0.941362,0.542857,0.446599,0.542857,0.922791,0.432052,0.584938,0.544629,59,189,0.0850062,-1,1,1,,
h6_pulse,39,67,1,222,1.00332,0,3934,11020,-0.154044,-0.29407,0.303845,0.054204,0.575316,1.05,1.06785,0.72517,0.531293,0.72517,0.992668,0.704222,0.664889,0.631152,59,189,0.075419,1,1,1,,
h6_pulse,40,67,1,129,1.34507,1,7775,72,0.145837,0.106556,-0.231571,-0.000921249,0.392422,1.05,0.97101,0.718367,0.537982,0.718367,0.983889,0.529967,0.605108,0.561787,59,189,0.0813222,-1,1,1,,
h6_pulse,41,67,1,90,2.73862,1,6647,758,0.0964098,0.207864,-0.216062,-0.342926,0.633323,1.05,1.04421,0.759184,0.547732,0.759184,0.968139,0.784368,0.492478,0.453864,59,189,0.0746113,1,1,1,,
h6_pulse,42,67,1,157,6.07844,1,3355,10724,-0.159272,0.0370054,0.250419,0.0188713,0.410973,1.05,1.08763,0.707483,0.535488,0.707483,0.977915,0.583923,0.595277,0.553674,59,189,0.0825213,-1,1,1,,
h6_pulse,43,67,1,275,5.42802,0,2269,10302,-0.163326,0.115265,0.215473,-0.3519,0.601459,1.05,1.02972,0.661224,0.515306,0.669388,0.978548,0.749582,0.576525,0.54037,59,189,0.0968766,-1,1,1,,
h6_pulse,44,67,1,251,1.89141,0,4139,10805,-0.134299,-0.0594864,0.268419,0.0328608,0.413888,1.05,1.11195,0.613605,0.472222,0.617687,0.969135,0.583477,0.540708,0.503525,59,189,0.0801786,-1,1,1,,
h6_pulse,45,67,1,249,0.915339,1,1659,10319,-0.197556,0.144302,0.212621,-0.352275,0.644314,1.05,1.07026,0.706122,0.502608,0.706122,0.983345,0.785187,0.556532,0.52066,59,189,0.103375,-1,1,1,,
h6_pulse,46,67,1,310,0.0910056,1,5736,637,0.0103188,0.153647,-0.225106,-0.342656,0.549312,1.05,1.0576,0.75102,0.548186,0.75102,0.959902,0.685444,0.452799,0.409764,59,189,0.0795043,-1,1,1,,
h6_pulse,47,67,1,178,5.60811,0,8607,2722,0.168255,-0.153652,-0.167376,0.0334206,0.384365,1.05,1.05758,0.576871,0.486735,0.576871,0.941618,0.565184,0.545312,0.507179,59,189,0.0742342,1,1,1,,
h6_pulse,48,67,1,264,3.43153,0,9884,2321,0.195458,-0.140603,-0.173728,0.0283689,0.406037,1.05,1.03086,0.614966,0.501247,0.628571,0.956644,0.56341,0.581463,0.542544,60,176,0.0780385,1,1,1,,
h6_pulse,49,67,1,324,6.07332,1,4921,11039,-0.0815029,-0.193343,0.30783,0.0573826,0.463102,1.05,1.15169,0.567347,0.455669,0.568707,0.987781,0.614895,0.573874,0.540526,60,176,0.0742493,-1,1,1,,
h6_pulse,50,67,1,65,4.41014,1,8697,72,0.217349,0.0505095,-0.231571,-0.000921249,0.451947,1.05,1.08712,0.778231,0.573016,0.782313,0.984522,0.63525,0.604894,0.563437,60,176,0.109612,1,1,1,,
h6_pulse,51,67,1,152,3.06227,0,571,10220,-0.214721,0.0894079,0.263862,0.0130539,0.484996,1.05,1.10684,0.820408,0.612245,0.820408,0.974475,0.651591,0.628469,0.58803,60,176,0.0907429,-1,1,1,,
h6_pulse,52,67,1,167,6.21022,0,8147,72,0.164182,0.0943193,-0.231571,-0.000921249,0.407137,1.05,1.07509,0.644898,0.498299,0.644898,0.980177,0.581387,0.591369,0.548436,60,176,0.0920027,-1,1,1,,
h6_pulse,53,67,1,286,6.24339,0,5732,2121,0.0024662,-0.349248,-0.180822,0.0337963,0.424697,1.05,1.01573,0.772789,0.606576,0.772789,0.989862,0.621881,0.776708,0.745792,60,176,0.0825897,-1,1,1,,
h6_pulse,54,67,1,345,0.0324247,0,9708,758,0.178238,0.200444,-0.216062,-0.342926,0.671427,1.05,1.10298,0.711565,0.523696,0.711565,0.959178,0.796763,0.546655,0.509235,60,176,0.0865041,-1,1,1,,
h6_pulse,55,67,1,344,0.973016,0,4127,10937,-0.1428,-0.175528,0.290137,0.0449381,0.486006,1.05,1.08255,0.619048,0.474717,0.619048,0.983436,0.653288,0.531309,0.494487,60,176,0.0798369,1,1,1,,
h6_pulse,56,67,1,260,3.96807,1,2043,10220,-0.187211,0.0890141,0.263862,0.0130539,0.458259,1.05,1.08764,0.736054,0.564512,0.736054,0.978096,0.616647,0.608075,0.56698,60,176,0.087505,1,1,1,,
h6_pulse,57,67,1,342,0.949028,0,126,10789,-0.22252,-0.00323009,0.250467,0.0292559,0.474274,1.05,1.10811,0.759184,0.584354,0.759184,0.94008,0.631577,0.624808,0.586783,60,176,0.0868074,1,1,1,,
h6_pulse,58,67,1,164,0.841724,1,3718,10220,-0.150364,0.100831,0.263862,0.0130539,0.425206,1.05,0.980415,0.753742,0.559637,0.753742,0.987238,0.574064,0.598048,0.560081,60,176,0.0919291,1,1,1,,
h6_pulse,59,67,1,170,1.44892,1,8849,648,0.166447,0.131856,-0.220697,-0.343265,0.612889,1.05,1.09698,0.712925,0.503401,0.712925,0.987147,0.745265,0.559956,0.521205,60,176,0.0867555,-1,1,1,,
h6_pulse,60,67,1,71,6.1174,0,5804,2116,0.0177641,-0.362583,-0.180151,0.0338774,0.443438,1.05,1.01118,0.760544,0.597846,0.760544,0.988505,0.617414,0.769379,0.738548,60,176,0.0863133,1,1,1,,
h6_pulse,61,67,1,32,3.93822,0,7744,2593,0.150339,-0.00995636,-0.170134,0.0309248,0.323166,1.05,1.18399,0.605442,0.478685,0.613605,0.952209,0.508882,0.582005,0.540501,60,176,0.0860225,1,1,1,,
h6_pulse,62,67,1,318,3.65892,0,4728,11039,-0.100345,-0.165557,0.30783,0.0573826,0.465106,1.05,1.15124,0.571429,0.448753,0.57415,0.983255,0.662959,0.529038,0.493915,60,176,0.0776783,1,1,1,,
h6_pulse,63,67,1,201,4.77469,0,7662,2321,0.143273,0.0481615,-0.173728,0.0283689,0.317685,1.05,0.917169,0.589116,0.485941,0.591837,0.962799,0.4847,0.621725,0.580089,60,176,0.0816466,1,1,1,,
h6_pulse,64,67,1,20,5.83362,1,9641,2722,0.190627,-0.169429,-0.167376,0.0334206,0.411478,1.05,1.04314,0.598639,0.510091,0.601361,0.944786,0.600838,0.565256,0.527532,60,176,0.0786297,1,1,1,,
h6_pulse,65,67,1,243,5.88905,1,7478,2656,0.139192,-0.132679,-0.170547,0.0338726,0.351711,1.05,1.14217,0.526531,0.433447,0.552381,0.986151,0.506193,0.531484,0.493129,60,176,0.0795372,1,1,1,,
h6_pulse,66,67,1,23,0.0675484,0,4516,11020,-0.11118,-0.182249,0.303845,0.054204,0.477829,1.05,1.15559,0.556463,0.447279,0.563265,0.987419,0.641143,0.538071,0.504305,60,176,0.0761225,-1,1,1,,
h6_pulse,67,67,1,304,2.20226,1,7146,2321,0.123132,0.00177002,-0.173728,0.0283689,0.298167,1.05,1.18071,0.604082,0.47517,0.604082,0.952299,0.510608,0.578784,0.538508,60,176,0.0963849,-1,1,1,,
h6_pulse,68,67,1,168,4.4425,1,4388,11039,-0.119664,-0.250943,0.30783,0.0573826,0.52714,1.05,1.01153,0.62585,0.525624,0.634014,0.945963,0.680148,0.6186,0.583489,60,176,0.0776176,1,1,1,,
h6_pulse,69,67,1,85,4.9958,1,1685,10789,-0.187286,0.0167799,0.250467,0.0292559,0.43854,1.05,1.07702,0.702041,0.546485,0.702041,0.961713,0.604783,0.598062,0.55967,60,176,0.0874383,1,1,1,,
h6_pulse,70,67,1,105,3.54975,1,6653,2436,0.100017,-0.291232,-0.175414,0.0343695,0.426482,1.05,1.07145,0.672109,0.506236,0.672109,0.996379,0.572376,0.658823,0.627327,60,176,0.110313,1,1,1,,
