method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid
h1,55,11,1,263,3.45814,0,10637,648,0.243748,0.110359,-0.221706,-0.344286,0.650733,0.95,0.978736,0.737197,0.536501,0.737197,0.748772,0.636763,0.600086,158,143,0.0878016,1,1,1
h1,56,11,1,115,5.2388,0,3069,10937,-0.146018,-0.0772314,0.28989,0.0477304,0.453466,0.95,0.946726,0.609164,0.494272,0.609164,0.611828,0.544819,0.507449,158,143,0.0785449,-1,1,1
h1,57,11,1,134,3.97914,1,6418,2436,0.0830269,-0.349384,-0.177717,0.0331116,0.462964,0.95,0.924432,0.683288,0.548854,0.683288,0.580395,0.718188,0.68592,158,143,0.0772546,1,1,1
h1,58,11,1,218,5.24062,0,7771,72,0.147313,0.0951824,-0.234023,-0.00157356,0.393425,0.95,0.915448,0.622642,0.483828,0.622642,0.517385,0.607571,0.56447,158,143,0.0837157,1,1,1
h1,59,11,1,182,0.11713,1,3774,10907,-0.127977,-0.00180435,0.285689,0.0452337,0.41634,0.95,1.03454,0.668464,0.49708,0.668464,0.572968,0.581134,0.540811,158,143,0.0915744,-1,1,1
h1,60,11,1,62,3.83638,1,2669,10220,-0.14966,0.0759401,0.261646,0.0172234,0.415844,0.95,0.91425,0.698113,0.518419,0.698113,0.584014,0.593721,0.554273,158,143,0.0821771,1,1,1
h1,61,11,1,5,4.45728,1,10596,648,0.23284,0.169148,-0.221706,-0.344286,0.685806,0.95,0.963411,0.688679,0.514039,0.688679,0.740178,0.596526,0.560814,158,143,0.0878593,1,1,1
h1,62,11,1,204,1.76217,1,1163,10319,-0.196664,0.131005,0.219543,-0.350306,0.636309,0.95,0.95969,0.673854,0.496069,0.673854,0.717137,0.58059,0.544727,158,143,0.102817,1,1,1
h1,63,11,1,166,2.56232,0,8696,648,0.187659,0.135811,-0.221706,-0.344286,0.630931,0.95,0.967337,0.67655,0.51022,0.67655,0.733206,0.579719,0.542759,158,143,0.0961627,1,1,1
h1,64,11,1,6,4.58713,0,1637,10319,-0.196567,0.137758,0.219543,-0.350306,0.641494,0.95,0.957581,0.657682,0.506626,0.657682,0.72764,0.598061,0.562402,158,143,0.0943349,1,1,1
h1,65,11,1,160,0.012835,1,2337,10964,-0.180623,-0.207244,0.293952,0.0506849,0.540224,0.95,0.957154,0.602426,0.479672,0.602426,0.640675,0.572881,0.5367,158,143,0.0726335,-1,1,1
h1,66,11,1,335,0.460525,0,464,10761,-0.228718,0.0163822,0.244075,0.0257826,0.473551,0.95,0.928445,0.691375,0.539757,0.707547,0.558784,0.633716,0.595773,158,143,0.0872774,-1,1,1
h1,67,11,1,262,1.49281,1,778,10724,-0.215731,0.0692883,0.244729,0.0212641,0.463652,0.95,0.901661,0.714286,0.549978,0.714286,0.552773,0.632759,0.593259,158,143,0.0913256,1,1,1
h1,68,11,1,295,3.58654,0,6429,758,0.0809584,0.137418,-0.217086,-0.344656,0.566768,0.95,0.986179,0.698113,0.500674,0.698113,0.673821,0.513694,0.476175,158,143,0.0755504,-1,1,1
h1,69,11,1,214,6.00633,0,4384,11020,-0.122195,-0.224951,0.303435,0.0569115,0.510498,0.95,0.87867,0.56469,0.496406,0.572776,0.612392,0.592351,0.55606,158,143,0.0748391,-1,1,1
