method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,vis_frac,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid,kp_a,kp_b
hk_pairs,31,45,1,312,3.58175,0,2296,9841,-0.170065,0.173468,0.197027,0.204229,0.368406,1.05,0.979331,0.848361,0.60633,0.848361,0.998733,0.503273,0.601146,0.519698,420,145,0.101142,1,1,1,1,2
hk_pairs,32,45,1,244,0.155382,1,4636,6021,-0.117997,-0.342522,0.0385189,-0.17988,0.225725,1.05,1.05409,0.446721,0.455487,0.489071,0.933563,0.401588,0.722564,0.652023,420,145,0.0868,1,1,1,9,8
hk_pairs,33,45,1,39,0.0356588,1,4259,9747,-0.13482,-0.326654,0.196574,0.196699,0.619459,1.05,1.05448,0.741803,0.54474,0.743169,0.983617,0.714744,0.590878,0.523966,420,145,0.0733424,-1,1,1,9,1
hk_pairs,34,45,1,78,5.15868,0,324,9955,-0.22358,0.0506763,0.202683,-0.118843,0.458885,1.05,1.15972,0.647541,0.487363,0.650273,0.938631,0.614832,0.450381,0.399797,420,145,0.0935445,1,1,1,3,7
hk_pairs,35,45,1,233,0.86178,1,5612,10195,-0.00146675,0.233496,0.216139,-0.341412,0.614785,1.05,1.02599,0.789618,0.563183,0.789618,0.997375,0.753962,0.456464,0.406773,420,145,0.0793989,-1,1,1,0,11
hk_pairs,36,45,1,233,1.00815,1,5612,10964,-0.00146675,0.233496,0.284098,0.0404701,0.344682,1.05,1.03825,0.770492,0.572404,0.770492,0.957458,0.510904,0.668691,0.612944,420,145,0.0741415,-1,1,1,0,3
hk_pairs,37,45,1,114,3.218,0,5668,10964,0.00233459,0.0733776,0.284098,0.0404701,0.283678,1.05,1.06612,0.47541,0.403575,0.47541,0.947502,0.494465,0.511124,0.471599,420,145,0.0748412,1,1,1,5,3
hk_pairs,38,45,1,199,4.89066,0,6355,3892,0.0776005,-0.248301,-0.136424,-0.123369,0.247844,1.05,0.973832,0.632514,0.498065,0.632514,0.976919,0.419364,0.665652,0.590563,420,145,0.0779435,-1,1,1,8,7
hk_pairs,39,45,1,329,2.69689,1,6120,5905,0.0509748,0.0237045,0.030447,-0.17753,0.202457,1.05,0.945366,0.362022,0.371243,0.42623,0.895818,0.391448,0.513264,0.444404,420,145,0.104131,1,1,1,5,8
hk_pairs,40,45,1,286,4.75612,1,5732,9955,0.0032053,-0.347618,0.202683,-0.118843,0.303572,1.05,1.05187,0.668033,0.49704,0.668033,0.989681,0.504027,0.645785,0.568055,420,145,0.0826024,-1,1,1,10,7
hk_pairs,41,45,1,287,3.15361,1,1051,9955,-0.206388,0.0350857,0.202683,-0.118843,0.437602,1.05,1.0592,0.602459,0.453666,0.602459,0.968139,0.581966,0.456853,0.406519,420,145,0.0910507,1,1,1,3,6
hk_pairs,42,45,1,338,0.630372,1,8247,310,0.16576,-0.127426,-0.219474,0.0443707,0.421805,1.05,1.05551,0.617486,0.474385,0.627049,0.937907,0.598706,0.529994,0.468956,420,145,0.0795724,1,1,1,7,4
hk_pairs,43,45,1,92,3.65905,0,9933,5905,0.182703,0.19986,0.030447,-0.17753,0.406946,1.05,1.0021,0.446721,0.388206,0.446721,0.920076,0.565454,0.438476,0.352733,420,145,0.0940179,1,1,1,2,8
hk_pairs,44,45,1,184,4.63188,0,6043,224,0.048605,-0.316998,-0.221721,0.0423927,0.449708,1.05,0.977779,0.722678,0.568534,0.722678,0.985065,0.579456,0.740814,0.676986,420,145,0.0929764,1,1,1,10,3
hk_pairs,45,45,1,264,6.14115,1,9884,4116,0.195301,-0.138306,-0.129105,0.207911,0.474548,1.05,1.04391,0.781421,0.553506,0.786885,0.928403,0.644498,0.528482,0.445356,420,145,0.0749649,1,1,1,7,2
hk_pairs,46,45,1,328,2.14073,0,145,5930,-0.231475,0.0557003,0.0371904,-0.349297,0.486075,1.05,0.967499,0.452186,0.350751,0.452186,0.81345,0.646083,0.323215,0.233694,420,145,0.094005,1,1,1,3,10
hk_pairs,47,45,1,267,6.02223,0,6716,3682,0.111661,-0.328478,-0.145237,-0.120049,0.330816,1.05,1.12769,0.409836,0.37796,0.431694,0.942162,0.515879,0.56324,0.451987,420,145,0.0871878,-1,1,1,11,6
hk_pairs,48,45,1,241,3.27757,0,3662,10195,-0.153935,-0.152021,0.216139,-0.341412,0.415829,1.05,1.02317,0.849727,0.618966,0.849727,0.980811,0.548037,0.686155,0.641715,420,145,0.0744644,1,1,1,6,9
hk_pairs,49,45,1,310,4.08014,1,5736,9841,0.0107288,0.154242,0.197027,0.204229,0.193102,1.05,1.14645,0.629781,0.504668,0.629781,0.912382,0.421906,0.634154,0.556747,420,145,0.0747323,-1,1,1,0,2
hk_pairs,50,45,1,119,2.08138,0,6372,3892,0.07411,-0.000778198,-0.136424,-0.123369,0.243676,1.05,0.941694,0.468579,0.391052,0.480874,0.915098,0.411158,0.484735,0.409266,420,145,0.0892443,-1,1,1,5,7
hk_pairs,51,45,1,31,4.23072,1,6472,224,0.0860271,-0.329134,-0.221721,0.0423927,0.482616,1.05,1.02663,0.710383,0.562955,0.710383,0.989229,0.626811,0.715045,0.654007,420,145,0.0756205,1,1,1,11,3
hk_pairs,52,45,1,119,3.32819,1,6372,3682,0.07411,-0.000778198,-0.145237,-0.120049,0.249677,1.05,0.932348,0.45082,0.398452,0.467213,0.868664,0.389568,0.482431,0.407145,420,145,0.0835373,1,1,1,5,6
hk_pairs,53,45,1,106,2.62828,1,8738,5939,0.188034,0.180145,0.0334406,0.0661564,0.192079,1.05,0.882934,0.476776,0.41883,0.487705,0.983526,0.371782,0.61071,0.547279,420,145,0.0928321,1,1,1,2,5
hk_pairs,54,45,1,114,5.54464,0,5668,9841,0.00233459,0.0733776,0.197027,0.204229,0.234579,1.05,1.15234,0.381148,0.317168,0.381148,0.934739,0.359395,0.409025,0.337333,420,145,0.0849896,-1,1,1,5,2
hk_pairs,55,45,1,115,5.0209,0,3069,5978,-0.143905,-0.0775318,0.036871,0.0694427,0.232984,1.05,1.09604,0.580601,0.47097,0.580601,0.890116,0.474625,0.526355,0.464891,420,145,0.0835596,-1,1,1,6,5
hk_pairs,56,45,1,328,1.02285,0,145,5978,-0.231475,0.0557003,0.036871,0.0694427,0.268819,1.05,1.18188,0.393443,0.359859,0.416667,0.952752,0.437122,0.488712,0.42544,420,145,0.0897029,-1,1,1,3,5
hk_pairs,57,45,1,338,5.98532,1,8247,5858,0.16576,-0.127426,0.0263662,0.235632,0.388996,1.05,1.01937,0.808743,0.594718,0.81694,0.997828,0.567234,0.539496,0.489881,420,145,0.10066,1,1,1,7,0
hk_pairs,58,45,1,286,1.10019,1,5732,10964,0.0032053,-0.347618,0.284098,0.0404701,0.479169,1.05,1.09743,0.504098,0.41735,0.504098,0.955648,0.601252,0.427385,0.397826,420,145,0.0748292,-1,1,1,10,4
